  1 kortermnum concept_en wn_synset_rel
  2 kortermnum 코텀번호
  3 concept_en 코어넷 영문 개념명
  4 wn_synset_rel 매핑된 워드넷 synset과 관계들
1 	Entity	
11 	Physical	
12 	Abstract	
111 	Agent	
112 	Region<Physical>	
113 	Object	
121 	Abstract Object	{{{brainchild,inspiration^pn:03442303^동의}{document^pn:03100659^동의|papers,document,written_document^pn:06069783^동의}{{religion,faith^pn:07591116^동의}{morality^pn:04614989^동의}}{{{area^pn:05646624^동의|subject,branch_of_knowledge,subject_area,bailiwick,discipline,field_of_study,subject_field,study,field^pn:05644624^동의}{education^pn:05633098^동의|territory^pn:05646938^동의}}{{burden^pn:05576239^동의|bottom_line^pn:06198599^동의}{thing-in-itself,noumenon^pn:05477492^동의}{brief^pn:06068404^동의|synopsis,precis,abstract,outline^pn:06068715^동의|apercu^pn:06068513^동의}{{real_thing,real_stuff,real_McCoy^pn:04565825^동의|genuineness^pn:13163812^동의}{fakery^pn:00708073^동의|counterfeit,fake,forge^pv:01607277^동의}}{significance,signification,meaning,import^pn:06193230^동의}{method^pn:05333823^동의|wise^pn:04682459^동의|way,fashion,mode,style,manner^pn:04679683^동의}{arcanum,secret^pn:06262306^동의}{agenda_item^pn:06082253^동의|proffer,proposition,suggestion^pn:06720880^동의|proposal^pn:06720394^동의}{rudiments,basics^pn:06230287^동의|rule,principle^pn:05532391^동의|principle,rationale^pn:05458366^동의}{logical_system,system_of_logic,logic^pn:05337493^동의|logic^pn:05529910^동의}{fact^pn:05480371^동의}{problem,job^pn:13595031^동의|problem,trouble^pn:05358791^동의|problem^pn:06367033^동의|trouble^pn:06841386^동의|matter,thing,affair^pn:05344294^동의|question,head^pn:06366798^동의|matter^pn:05359618^동의}{motif,theme^pn:05576352^동의|topic,subject,theme^pn:06192044^동의}{notion^pn:05499218^동의|conceptuality,conceptualisation,conceptualization^pn:05498913^동의|conception,construct,concept^pn:05498421^동의}{implication,significance,import^pn:05576715^동의|spell,import^pv:00901942^동의|stand_for,signify,mean,intend^pv:00901194^동의|signify^pv:00901648^동의}}{{acquaintance,familiarity,conversance,conversancy^pn:05480192^상하|noesis,knowledge,cognition^pn:00020729^상하|information^pn:05479334^상하|education^pn:05633098^상하|episteme^pn:05292101^상하|wisdom^pn:05581759^상하|sapience,wisdom^pn:05296448^상하}{thought,opinion,view,sentiment,persuasion^pn:05599484^동의}{understand^pv:00570184^동의}}}{{information,data^pn:07949563^동의|gen^pn:06228424^동의}{report,reputation^pn:05830270^동의}{heritage,inheritance^pn:00077160^동의}}{language,linguistic_communication^pn:05899749^동의}}{{{track_record,record^pn:00042855^동의}{{success^pn:13652296^동의|success^pn:06869923^동의|success^pn:00058293^동의|pan_out^pv:02450829^동의|come_through,bring_home_the_bacon,win,succeed,deliver_the_goods^pv:02449033^동의|bring_off,pull_off,negociate,manage,carry_off^pv:02447728^동의}{failure^pn:06868584^동의|abortion,miscarriage^pn:06870473^동의|failure^pn:00061200^동의|failure^pn:13655225^동의|fail,neglect^pv:02454065^동의|go_wrong,fail,miscarry^pv:02453161^동의|fail^pv:02447183^동의|strike_out^pv:02453614^동의}}}{{{habitude^pn:00396319^동의|wont,use,habit^pn:00395639^동의}{institution^pn:05342391^동의|practice^pn:05340531^동의}{fashion^pn:00396545^동의|system_of_rules,system^pn:05335461^동의|method^pn:05333823^동의|wise^pn:04682459^동의|way,fashion,mode,style,manner^pn:04679683^동의}}{{favour,favor^pn:05824425^동의|style,vogue,trend^pn:05417424^동의|bandwagon^pn:05418686^동의|prevalence^pn:04552759^동의|come_in^pv:02587221^동의}{ritual^pn:00396127^동의}}{{function,social_occasion,social_function,occasion,affair^pn:06992125^동의|function^pn:07753722^동의}{{make,throw,have,hold,give^pv:01684337^동의}{assemblage,gathering,assembly^pn:01160983^동의}{banquet,feast^pn:07754894^동의|shindig,shindy^pn:07754318^동의}}{festivity,celebration^pn:00484445^동의|celebration,jubilation^pn:06995261^동의}{function^pn:07753722^동의|observance,ceremonial,ceremony,ceremonial_occasion^pn:06995452^동의|ceremony^pn:00967864^동의}}}{system,scheme^pn:07924048^동의}}}
122 	Event<Abstract>	{thing^pn:13152313^동의}
123 	Abstract Relation	{relation^pn:00027929^동의}
1111 	Human	{someone,human,person,somebody,soul,mortal,individual^pn:00006026^동의}
1112 	Group	{organisation,organization^pn:07523126^동의|system,scheme^pn:07924048^동의}
1121 	Stationary Artifact	{installation,facility^pn:03194800^동의}
1122 	Geographic Area	{part,region^pn:08103697^동의}
1123 	Nature	{natural_state,state_of_nature,wild^pn:13148371^동의}
1131 	Organism	{living_thing,animate_thing^pn:00003009^동의}
1132 	Inanimate Object	{{natural_object^pn:00017087^동의}{artefact,artifact^pn:00019244^동의}}
